,200DayMovingAverage,50DayMovingAverage,52WeekHigh,52WeekLow,Address,AnalystTargetPrice,AssetType,Beta,BookValue,CIK,Country,Currency,Description,DilutedEPSTTM,DividendDate,DividendPerShare,DividendYield,EBITDA,EPS,EVToEBITDA,EVToRevenue,ExDividendDate,Exchange,FiscalYearEnd,ForwardPE,GrossProfitTTM,Industry,Information,LatestQuarter,MarketCapitalization,Name,Note,OperatingMarginTTM,PEGRatio,PERatio,PriceToBookRatio,PriceToSalesRatioTTM,ProfitMargin,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenuePerShareTTM,RevenueTTM,Sector,SharesOutstanding,Symbol,TrailingPE
0,193.01,179.95,205.85,159.64,"3M CENTER, BLDG. 220-13E-26A, ST PAUL, MN, US",190.33,Common Stock,0.948,25.09,66740,USA,USD,"The 3M Company is an American multinational conglomerate corporation operating in the fields of industry, worker safety, US health care, and consumer goods. The company produces over 60,000 products under several brands, including adhesives, abrasives, laminates, passive fire protection, personal protective equipment, window films, paint protection films, dental and orthodontic products, electrical and electronic connecting and insulating materials, medical products, car-care products, electronic circuits, healthcare software and optical films. It is based in Maplewood, a suburb of Saint Paul, Minnesota.",10.11,2021-09-12,5.91,0.0328,10038000000,10.11,12.07,3.315,2021-11-18,NYSE,December,17.24,15685000000,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,,2021-09-30,105864757000,3M Company,,0.23,2.167,18.17,7.18,2.997,0.168,0,0.071,0.108,0.448,60.91,35326001000,LIFE SCIENCES,576253000,MMM,18.17
1,120.17,122.55,129.53,103.72,"100 ABBOTT PARK ROAD, D-322 AP6D, ABBOTT PARK, IL, US",138.67,Common Stock,0.668,19.47,1800,USA,USD,"Abbott Laboratories is an American multinational medical devices and health care company with headquarters in Abbott Park, Illinois, United States. The company was founded by Chicago physician Wallace Calvin Abbott in 1888 to formulate known drugs; today, it sells medical devices, diagnostics, branded generic medicines and nutritional products. It split off its research-based pharmaceuticals business into AbbVie in 2013.",4.03,2021-11-15,1.8,0.0141,12366000000,4.03,18.95,5.52,2021-10-14,NYSE,December,26.81,19611000000,PHARMACEUTICAL PREPARATIONS,,2021-09-30,226288075000,Abbott Laboratories,,0.209,2.481,31.75,6.54,5.35,0.171,0.696,0.234,0.0774,0.219,23.82,42308002000,LIFE SCIENCES,1768290000,ABT,31.75
2,113.67,110.85,120.07,93.83,"1 NORTH WAUKEGAN ROAD, NORTH CHICAGO, IL, US",127.78,Common Stock,0.799,7.67,1551152,USA,USD,AbbVie is an American publicly traded biopharmaceutical company founded in 2013. It originated as a spin-off of Abbott Laboratories.,4.196,2022-02-15,5.2,0.0446,28854999000,4.196,15.02,4.979,2022-01-13,NYSE,December,8.42,31747000000,PHARMACEUTICAL PREPARATIONS,,2021-09-30,206788919000,AbbVie Inc,,0.367,1.279,27.88,15.22,3.748,0.137,0.38,0.112,0.0848,0.523,31.19,55168999000,LIFE SCIENCES,1767880000,ABBV,27.88
3,326.84,344.6,379.3,254.41,"22 CHERRY HILL DR, DANVERS, MA, US",387.33,Common Stock,1.263,30.43,815094,USA,USD,"Abiomed is a publicly-traded medical devices company that develops and manufactures external and implantable circulatory support devices. The company is headquartered in Danvers, Massachusetts and has three additional offices, two in Germany in the cities of Berlin and Aachen, and another in Tokyo, Japan.",3.257,None,None,0,288176000,3.257,54.14,16.0,None,NASDAQ,March,-,685615000,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,,2021-09-30,16419593000,Abiomed Inc,,0.269,2.75,110.8,11.72,16.86,0.153,-0.088,0.183,0.115,0.116,21.49,973635000,LIFE SCIENCES,45497500,ABMD,110.8
4,317.2,344.4,372.12,235.78,"1 GRAND CANAL SQUARE, GRAND CANAL HARBOUR, DUBLIN, IE",376.3,Common Stock,1.129,30.9,1467373,USA,USD,"Accenture plc is an Irish-domiciled multinational company that provides consulting and processing services. It has been incorporated in Dublin, Ireland since 2009.",9.15,2021-11-15,3.61,0.0099,8446286000,9.15,23.24,4.467,2021-10-13,NYSE,August,35.84,16364128000,"SERVICES-BUSINESS SERVICES, NEC",,2021-08-31,234484105000,Accenture plc,,0.151,3.383,40.55,11.8,4.64,0.117,0.104,0.238,0.119,0.319,79.61,50533388000,TRADE & SERVICES,631641000,ACN,40.55
10,54.98,54.84,57.66,41.19,"1932 WYNNTON RD, COLUMBUS, GA, US",58.6,Common Stock,0.994,50.62,4977,USA,USD,Aflac Inc. (American Family Life Assurance Company) is an American insurance company and is the largest provider of supplemental insurance in the United States.,6.17,2021-12-01,1.27,0.0225,5590000000,6.17,-,1.736,2021-11-16,NYSE,December,10.68,7821000000,ACCIDENT & HEALTH INSURANCE,,2021-09-30,37713711000,Aflac Incorporated,,0.246,0.93,9.24,1.111,1.67,0.188,-0.616,-0.076,0.0216,0.128,33.01,22582999000,FINANCE,661528000,AFL,9.24
11,152.48,157.22,179.35,104.59,"5301 STEVENS CREEK BLVD, SANTA CLARA, CA, US",173.35,Common Stock,0.984,16.33,1090872,USA,USD,"Agilent Technologies, Inc. is an American analytical instrumentation development and manufacturing company that offers its products and services to markets worldwide. Its global headquarters is located in Santa Clara, California.",3.208,2021-10-27,0.762,0.0048,1651000000,3.208,31.19,8.06,2021-10-04,NYSE,October,34.25,2837000000,INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS,,2021-07-31,48211624000,Agilent Technologies Inc,,0.218,2.511,49.49,9.72,7.85,0.161,0.344,0.258,0.0835,0.2,20.07,6142000000,LIFE SCIENCES,302723000,A,49.49
12,285.75,284.87,316.39,241.77,"7201 HAMILTON BOULEVARD, ALLENTOWN, PA, UNITED STATES",321.87,Common Stock,0.806,61.07,2969,USA,USD,"Air Products and Chemicals, Inc. is an American international corporation whose principal business is selling gases and chemicals for industrial uses. Air Products' headquarters is in Allentown, Pennsylvania.",9.44,2021-11-08,5.84,0.0188,3589100000,9.44,17.77,6.84,2021-09-30,NYSE,September,29.85,3136900000,INDUSTRIAL INORGANIC CHEMICALS,,2021-09-30,68623147000,Air Products and Chemicals Inc,,0.22,1.597,32.85,5.08,6.65,0.203,0.254,0.225,0.0545,0.154,46.58,10323000000,LIFE SCIENCES,221365000,APD,32.85
13,112.39,106.28,121.11,92.64,"145 BROADWAY, CAMBRIDGE, MA, US",134.31,Common Stock,0.542,28.21,1086222,USA,USD,"Akamai Technologies, Inc. is a global content delivery network (CDN), cybersecurity, and cloud service company, providing web and Internet security services.",3.641,None,None,0,1133944000,3.641,14.56,5.49,None,NASDAQ,December,18.08,2065477000,"SERVICES-BUSINESS SERVICES, NEC",,2021-09-30,18048279000,Akamai Technologies Inc,,0.223,1.454,30.51,3.877,5.3,0.178,0.137,0.085,0.0608,0.139,20.88,3402152000,TRADE & SERVICES,162480000,AKAM,30.51
14,60.51,57.74,74.25,45.28,"19300 INTERNATIONAL BOULEVARD, SEATTLE, WA, US",77.93,Common Stock,1.641,28.18,766421,USA,USD,"Alaska Air Group is an airline holding company based in SeaTac, Washington, United States.",0.104,2020-03-05,0,0,145000000,0.104,16.96,1.581,2020-02-14,NYSE,December,11.43,-680000000,"AIR TRANSPORTATION, SCHEDULED",,2021-09-30,7016193000,Alaska Air Group Inc,,-0.151,1.3,531.54,2.016,1.38,0.0026,0.486,1.786,-0.0336,0.0037,40.8,5085000000,ENERGY & TRANSPORTATION,125311000,ALK,531.54
15,203.12,237.64,282.87,121.33,"4350 CONGRESS STREET, SUITE 700, CHARLOTTE, NC, US",249.59,Common Stock,1.602,48.68,915913,USA,USD,"Albemarle Corporation is a fine chemical manufacturing company based in Charlotte, North Carolina.",1.866,2022-01-03,1.555,0.0057,809471000,1.866,64.88,10.05,2021-12-16,NYSE,December,51.55,996853000,"PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS",,2021-09-30,32305310000,Albemarle Corporation,,0.17,2.407,148.0,5.59,9.75,0.064,3.525,0.112,0.0334,0.0571,29.25,3312900000,LIFE SCIENCES,116976000,ALB,148.0
25,11.95,11.95,12.8,10.35,"83 TOWER ROAD NORTH, WARMLEY, BRISTOL, GB",12.6,Common Stock,0.448,3.041,1748790,USA,USD,"Amcor plc is an Australian-American, UK-domiciled packaging company. It develops and produces flexible packaging, rigid containers, specialty cartons, closures and services for food, beverage, pharmaceutical, medical-device, home and personal-care, and other products.",0.607,2021-12-14,0.472,0.0382,2054000000,0.607,12.83,1.923,2021-11-23,NYSE,June,15.31,2732000000,MISCELLANEOUS MANUFACTURING INDUSTRIES,,2021-09-30,18980645000,Amcor plc,,0.111,None,20.4,4.075,1.44,0.0715,0.04,0.104,0.0544,0.202,8.54,13184000000,MANUFACTURING,1533170000,AMCR,20.4
26,84.5,83.32,90.19,68.39,"1901 CHOUTEAU AVE, MC 1310, ST LOUIS, MO, US",89.77,Common Stock,0.323,37.6,1002910,USA,USD,"Ameren Corporation is an American power company created December 31, 1997, by the merger of St. Louis, Missouri's Union Electric Company (formerly NYSE: UEP) and the neighboring Central Illinois Public Service Company (CIPSCO Inc. holding, formerly NYSE: CIP) of Springfield, Illinois. It is now a holding company for several power companies and energy companies.",3.837,2021-12-31,2.165,0.0257,2610000000,3.837,12.8,5.62,2021-12-07,NYSE,December,20.66,2858000000,ELECTRIC & OTHER SERVICES COMBINED,,2021-09-30,21664664000,Ameren Corporation,,0.251,2.74,21.92,2.237,3.667,0.166,0.122,0.111,0.0284,0.107,23.28,5908000000,ENERGY & TRANSPORTATION,257606000,AEE,21.92
27,21.07,20.42,26.09,12.23,"1 SKYVIEW DRIVE, FORT WORTH, TX, US",19.08,Common Stock,1.681,0.365,6201,USA,USD,"American Airlines Group Inc. is an American publicly traded airline holding company headquartered in Fort Worth, Texas.",-5.18,2020-02-19,0,0,4512000000,-5.18,179.83,1.876,2020-02-04,NASDAQ,December,1111.11,-5536000000,"AIR TRANSPORTATION, SCHEDULED",,2021-09-30,13138059000,American Airlines Group Inc,,-0.272,0.627,None,-,0.537,-0.132,0.188,1.827,-0.0635,0,39.18,24483000000,ENERGY & TRANSPORTATION,647514000,AAL,-
28,86.04,83.63,90.64,72.87,"1 RIVERSIDE PLAZA, COLUMBUS, OH, US",96.16,Common Stock,0.32,44.24,4904,USA,USD,"American Electric Power (AEP) is a major investor-owned electric utility in the United States, delivering electricity to more than five million customers in 11 states.",4.762,2021-12-10,2.96,0.0358,6093800000,4.762,11.74,4.769,2021-11-09,NASDAQ,December,16.56,6966000000,ELECTRIC SERVICES,,2021-09-30,41309536000,American Electric Power Company Inc,,0.209,2.854,17.22,1.868,2.528,0.146,0.053,0.137,0.0259,0.111,32.77,16341200000,ENERGY & TRANSPORTATION,503652000,AEP,17.22
29,166.71,175.73,189.03,110.61,"200 VESEY STREET, 50TH FLOOR, NEW YORK, NY, US",190.44,Common Stock,1.224,31.4,4962,USA,USD,The American Express Company is a multinational financial services corporation headquartered at 200 Vesey Street in the Battery Park City neighborhood of Lower Manhattan in New York City.,9.57,2021-11-10,1.72,0.0095,None,9.57,-,-,2021-10-07,NYSE,December,18.8,22086000000,FINANCE SERVICES,,2021-09-30,140512215000,American Express Company,,0.236,0.715,18.95,5.75,3.413,0.189,0.745,0.375,0.0419,0.336,51.57,41168998000,FINANCE,774556000,AXP,18.95
38,166.7,174.07,186.1,129.27,"ONE ANALOG WAY, WILMINGTON, MA, UNITED STATES",193.16,Common Stock,1.154,33.31,6281,USA,USD,"Analog Devices, Inc. (ADI), also known simply as Analog, is an American multinational semiconductor company specializing in data conversion, signal processing and power management technology, headquartered in Wilmington, Massachusetts.",4.57,2021-09-08,2.69,0.0147,2928113000,4.57,35.45,15.69,2021-08-26,NASDAQ,October,25.19,3690478000,SEMICONDUCTORS & RELATED DEVICES,,2021-07-31,99308175000,Analog Devices Inc,,0.328,1.978,40.44,8.02,15.27,0.262,0.392,0.208,0.0616,0.141,17.63,6505013000,MANUFACTURING,537411000,ADI,40.44
39,355.63,366.07,413.19,292.79,"2600 ANSYS DRIVE, SOUTHPOINTE, CANONSBURG, PA, US",415.74,Common Stock,1.243,49.76,1013462,USA,USD,"Ansys, Inc. is an American company based in Canonsburg, Pennsylvania. It develops and markets multiphysics engineering simulation software for product design, testing and operation and offers its products and services to customers worldwide.",5.32,None,None,0,644720000,5.32,49.5,17.82,None,NASDAQ,December,48.08,1496675000,SERVICES-PREPACKAGED SOFTWARE,,2021-09-30,34830565000,ANSYS Inc,,0.289,4.093,73.68,7.75,18.58,0.249,0.115,0.202,0.0625,0.118,21.59,1874734000,TECHNOLOGY,87253000,ANSS,73.68
40,388.52,404.03,439.9,283.4,"220 VIRGINIA AVENUE, INDIANAPOLIS, IN, US",468.67,Common Stock,1.054,147.16,1156039,USA,USD,"Anthem, Inc., is a provider of health insurance in the United States. It is the largest for-profit managed health care company in the Blue Cross Blue Shield Association.",22.23,2021-12-21,4.34,0.0101,8753000000,22.23,-,0.91,2021-12-02,NYSE,December,15.04,33823000000,HOSPITAL & MEDICAL SERVICE PLANS,,2021-09-30,106068886000,Anthem Inc,,0.0593,1.313,19.66,2.925,0.792,0.0412,6.05,0.15,0.0537,0.158,546.24,133883003000,FINANCE,242715000,ANTM,19.66
41,269.28,301.79,326.25,196.31,"THE LEADENHALL BUILDING, 122 LEADENHALL STREET, LONDON, GB",314.09,Common Stock,0.876,9.98,315293,USA,USD,"Aon plc is a multinational professional services firm that sells a range of financial risk-mitigation products, including insurance, pension administration, and health-insurance plans.",4.013,2021-11-15,1.94,0.0065,2308000000,4.013,34.29,6.17,2021-10-29,NYSE,December,23.26,5174000000,"INSURANCE AGENTS, BROKERS & SERVICE",,2021-09-30,66174513000,Aon plc,,0.163,2.024,74.84,29.85,5.48,0.0758,-0.024,0.133,0.0391,0.327,53.17,12078000000,FINANCE,220332000,AON,74.84
42,69.55,68.2,82.25,51.21,"11270 WEST PARK PLACE, MILWAUKEE, WI, US",76.75,Common Stock,1.151,11.92,91142,USA,USD,A. O. Smith Corporation is an American manufacturer of both residential and commercial water heaters and boilers and the largest manufacturer and marketer of water heaters in North America. It also supplies water treatment products in the Asian market.,2.89,2021-11-15,1.04,0.0131,659700000,2.89,17.92,3.592,2021-10-28,NYSE,December,23.2,1108200000,HOUSEHOLD APPLIANCES,,2021-09-30,12987619000,A. O. Smith Corporation,,0.172,2.323,28.24,6.69,3.845,0.138,0.262,0.203,0.116,0.257,21.03,3377900000,MANUFACTURING,133187000,AOS,28.24
43,21.48,25.7,31.14,10.64,"2000 POST OAK BLVD, STE 100, HOUSTON, TX, US",32.64,Common Stock,4.761,16.76,6769,USA,USD,"APA Corporation is the holding company for Apache Corporation, a company engaged in hydrocarbon exploration. It is organized in Delaware and headquartered in Houston.",1.564,2022-02-22,0.138,0.0047,3732000000,1.564,5.65,2.578,2022-01-20,NASDAQ,December,6.14,2714000000,CRUDE PETROLEUM & NATURAL GAS,,2021-09-30,10698419000,APA Corporation,,-0.309,3.07,18.83,2.821,1.529,0.0859,0,0.859,-0.103,1.137,18.51,6997000000,ENERGY & TRANSPORTATION,363274000,APA,18.83
53,297.44,299.63,344.39,246.86,"111 MCINNIS PKWY, SAN RAFAEL, CA, US",350.2,Common Stock,1.353,6.04,769397,USA,USD,"Autodesk, Inc. is an American multinational software corporation that makes software products and services for the architecture, engineering, construction, manufacturing, media, education, and entertainment industries. Autodesk is headquartered in San Rafael, California.",5.92,None,None,0,761500000,5.92,93.41,17.98,2005-03-22,NASDAQ,January,46.51,3484900000,SERVICES-PREPACKAGED SOFTWARE,,2021-07-31,72149271000,Autodesk Inc,,0.165,1.69,55.45,53.85,17.86,0.325,0.182,0.161,0.0631,1.885,18.4,4040600000,TECHNOLOGY,219850000,ADSK,55.45
54,204.56,213.41,231.87,157.04,"ONE ADP BOULVARD, ROSELAND, NJ, US",224.14,Common Stock,0.775,12.68,8670,USA,USD,"Automatic Data Processing, Inc. (ADP) is an American provider of human resources management software and services.",6.32,2022-01-01,3.72,0.0163,4003500000,6.32,24.11,6.38,2021-12-09,NASDAQ,June,33.78,6768100000,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,,2021-09-30,97774371000,Automatic Data Processing Inc,,0.227,3.522,36.54,18.0,6.36,0.175,0.179,0.104,0.0427,0.483,36.2,15367000000,TECHNOLOGY,421384000,ADP,36.54
55,1585.62,1752.57,1904.84,1085.85,"123 SOUTH FRONT ST, MEMPHIS, TN, US",1822.88,Common Stock,0.858,-71.3,866787,USA,USD,"AutoZone, Inc. is an American retailer of aftermarket automotive parts and accessories, the largest in the United States.",95.19,None,None,0,3395210000,95.19,15.79,3.179,None,NYSE,August,19.3,7717785000,RETAIL-AUTO & HOME SUPPLY STORES,,2021-08-31,39545647000,AutoZone Inc,,0.204,1.537,19.81,-,2.703,0.148,0.155,0.081,0.129,-99999.99,657.89,14629585000,TRADE & SERVICES,20968000,AZO,19.81
56,219.25,230.8,242.16,150.99,"671 N. GLEBE ROAD, SUITE 800, ARLINGTON, VA, US",244.74,Common Stock,0.943,77.38,915912,USA,USD,"AvalonBay Communities, Inc. is a publicly traded real estate investment trust that invests in apartments.",7.24,2021-10-15,6.36,0.0264,1352054000,7.24,21.02,18.37,2021-10-01,NYSE,December,64.1,1479342000,REAL ESTATE INVESTMENT TRUSTS,,2021-09-30,33646836000,AvalonBay Communities Inc,,0.269,5.73,33.28,3.122,14.78,0.444,-0.462,0.026,0.0198,0.0941,16.34,2276798000,REAL ESTATE & CONSTRUCTION,139741000,AVB,33.28
57,214.75,214.17,229.24,143.37,"207 GOODE AVENUE, GLENDALE, CA, US",241.3,Common Stock,0.992,21.72,8818,USA,USD,"Avery Dennison Corporation is a multinational manufacturer and distributor of pressure-sensitive adhesive materials (such as self-adhesive labels), apparel branding labels and tags, RFID inlays, and specialty medical products. The company is headquartered in Glendale, California.",8.91,2021-12-15,2.6,0.0117,1289600000,8.91,16.47,2.6,2021-11-30,NYSE,December,23.36,1923300000,CONVERTED PAPER & PAPERBOARD PRODS (NO CONTANERS/BOXES),,2021-09-30,18644742000,Avery Dennison Corporation,,0.133,3.066,25.28,10.21,2.269,0.0912,0.095,0.198,0.0997,0.478,98.87,8216000000,MANUFACTURING,82796000,AVY,25.28
67,468.68,500.77,543.5,293.94,"614 MCKINLEY PL N E, MINNEAPOLIS, MN, US",554.2,Common Stock,1.107,41.74,842023,USA,USD,"Bio-Techne Corporation develops, manufactures, and sells life science reagents, instruments, and services for the global clinical diagnostic and research markets. The company is headquartered in Minneapolis, Minnesota.",4.337,2021-11-26,1.28,0.0025,315307000,4.337,71.47,20.36,2021-11-10,NASDAQ,June,65.79,634415000,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",,2021-09-30,19793043000,Bio-Techne Corporation,,0.265,1.895,116.14,12.14,20.1,0.179,1.036,0.262,0.0753,0.114,25.32,984552000,LIFE SCIENCES,39295300,TECH,116.14
68,312.15,277.13,427.5,238.4,"225 BINNEY STREET, CAMBRIDGE, MA, US",352.04,Common Stock,0.402,71,875045,USA,USD,"Biogen Inc. is an American multinational biotechnology company based in Cambridge, Massachusetts, specializing in the discovery, development, and delivery of therapies for the treatment of neurological diseases to patients worldwide.",10.22,None,None,0,3018300000,10.22,14.61,3.948,None,NASDAQ,December,13.91,11639400000,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",,2021-09-30,39635841000,Biogen Inc,,0.23,6.24,26.41,3.754,3.571,0.139,-0.502,-0.177,0.0655,0.195,73.62,11100500000,LIFE SCIENCES,146893000,BIIB,26.41
69,885.85,898.07,973.16,650.11,"55 EAST 52ND STREET, NEW YORK, NY, US",983.08,Common Stock,1.203,242.24,1364742,USA,USD,"BlackRock, Inc. is an American multinational investment management corporation based in New York City.",37.61,2021-09-22,16.02,0.0166,7712000000,37.61,16.7,7.88,2021-09-03,NYSE,December,22.73,8266000000,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",,2021-09-30,147646611000,BlackRock Inc,,0.39,2.837,25.84,3.984,7.88,0.31,0.228,0.156,0.0273,0.17,123.0,18745999000,FINANCE,151917000,BLK,25.84
70,52.8,56.75,60.48,36.53,"240 GREENWICH STREET, NEW YORK, NY, US",62.66,Common Stock,1.15,47.3,1390777,USA,USD,"The Bank of New York Mellon Corporation, commonly known as BNY Mellon, is a multinational American investment banking services holding company headquartered in New York City.",3.925,2021-11-12,1.27,0.0212,None,3.925,-,-,2021-10-29,NYSE,December,13.33,15472000000,STATE COMMERCIAL BANKS,,2021-09-30,49615327000,The Bank of New York Mellon Corporation,,0.287,1.403,15.31,1.268,3.109,0.229,0.061,0.063,0.0081,0.0818,18.31,15958000000,FINANCE,825821000,BK,15.31
71,227.48,218.58,278.57,191.35,"P O BOX 3707 MS 1F 31, SEATTLE, WA, US",259.25,Common Stock,1.523,-9.46,12927,USA,USD,"The Boeing Company is an American multinational corporation that designs, manufactures, and sells airplanes, rotorcraft, rockets, satellites, telecommunications equipment, and missiles worldwide. The company also provides leasing and product support services.",-14.51,2020-03-06,0,0,6560000000,-14.51,129.41,2.729,2020-02-13,NYSE,December,35.97,-1690000000,AIRCRAFT,,2021-09-30,129622893000,The Boeing Company,,-0.056,6.53,None,-,2.064,-0.135,-0.496,0.081,-0.0143,-99999.99,107.39,62797001000,MANUFACTURING,587699000,BA,-
81,93.42,93.25,103.2,83.37,"14701 CHARLSON ROAD, EDEN PRAIRIE, MN, US",103.35,Common Stock,0.745,14.96,1043277,USA,USD,"C.H. Robinson is an American Fortune 500 provider of multimodal transportation services and third-party logistics (3PL). The company offers freight transportation, transportation management, brokerage and warehousing. It offers truckload, less than truckload, air freight, intermodal, and ocean transportation.",5.65,2021-10-01,2.04,0.022,1069696000,5.65,12.7,0.657,2021-09-02,NASDAQ,December,16.37,1169390000,ARRANGEMENT OF TRANSPORTATION OF FREIGHT & CARGO,,2021-09-30,12282471000,C.H. Robinson Worldwide Inc,,0.0474,1.496,16.74,6.19,0.581,0.036,0.85,0.483,0.107,0.399,157.96,21149741000,ENERGY & TRANSPORTATION,129987000,CHRW,16.74
82,146.96,162.87,182.58,109.2,"2655 SEELY AVENUE BLDG 5, SAN JOSE, CA, US",175.42,Common Stock,1.071,9.49,813672,USA,USD,"Cadence Design Systems, Inc., headquartered in San Jose, California, is an American multinational computational software company. The company produces software, hardware and silicon structures for designing integrated circuits, systems on chips (SoCs) and printed circuit boards.",2.48,None,None,0,923560000,2.48,52.48,16.29,None,NASDAQ,December,49.75,2377393000,SERVICES-PREPACKAGED SOFTWARE,,2021-09-30,49885381000,Cadence Design Systems Inc,,0.262,4.49,72.58,18.67,16.77,0.233,0.086,0.126,0.116,0.276,10.87,2975117000,TECHNOLOGY,277141000,CDNS,72.58
83,102.57,111.84,119.81,61.01,"100 WEST LIBERTY STREET, SUITE 1150, RENO, NV, US",134,Common Stock,2.908,22.85,1590895,USA,USD,"Caesars Entertainment, Inc., formerly Eldorado Resorts, Inc., is an American hotel and casino entertainment company founded and based in Reno, Nevada, that operates more than 50 properties.",-5.42,None,None,0,2519000000,-5.42,21.94,5.67,None,NASDAQ,December,40.82,1698000000,HOTELS & MOTELS,,2021-09-30,22660045000,Caesars Entertainment Inc,,0.169,1.16,None,4.454,2.697,-0.136,0,0.861,0.0236,-0.266,39.96,8402000000,REAL ESTATE & CONSTRUCTION,213774000,CZR,-
84,44.36,41.32,52.48,39.7,"CAMPBELL PL, CAMDEN, NJ, US",45.68,Common Stock,0.509,10.44,16732,USA,USD,"Campbell Soup Company, doing business as Campbell's, is an American processed food and snack company.",3.28,2021-11-01,1.46,0.0357,1927000000,3.28,9.44,2.075,2021-10-06,NYSE,July,14.81,2814000000,FOOD AND KINDRED PRODUCTS,,2021-07-31,12552587000,Campbell Soup Company,,0.19,4.991,12.67,3.923,1.481,0.118,2.312,-0.111,0.0835,0.352,27.97,8476000000,MANUFACTURING,302108000,CPB,12.67
85,160.81,162.8,177.95,81.93,"1680 CAPITAL ONE DRIVE, SUITE 1400, MCLEAN, VA, US",189.36,Common Stock,1.667,133.91,927628,USA,USD,"Capital One Financial Corporation is an American bank holding company specializing in credit cards, auto loans, banking, and savings accounts, headquartered in McLean, Virginia with operations primarily in the United States.",26.74,2021-11-26,1.5,0.0096,None,26.74,-,-,2021-11-12,NYSE,December,8.24,18259000000,NATIONAL COMMERCIAL BANKS,,2021-09-30,66614100000,Capital One Financial Corporation,,0.513,0.466,5.85,1.053,2.1,0.395,0.34,0.159,0.0296,0.206,70.22,31715000000,FINANCE,425622000,COF,5.85
96,68.24,67.47,76.17,57.16,"7700 FORSYTH BLVD., ST LOUIS, MO, US",83.6,Common Stock,0.486,45.36,1071739,USA,USD,"Centene Corporation is a large publicly traded company and a multi-line managed care enterprise that serves as a major intermediary for both government-sponsored and privately insured health care programs. It is a healthcare insurer that focuses on managed care for uninsured, underinsured, and low-income individuals.",1.249,None,None,0,4650000000,1.249,16.33,0.425,None,NYSE,December,13.83,17912000000,HOSPITAL & MEDICAL SERVICE PLANS,,2021-09-30,44264538000,Centene Corporation,,0.0281,1.08,60.74,1.66,0.388,0.0064,0.021,0.103,0.0274,0.0276,196.1,114130002000,FINANCE,583503000,CNC,60.74
97,25.48,26.04,27.04,19.07,"1111 LOUISIANA ST., HOUSTON, TX, US",28.62,Common Stock,0.969,12.84,1130310,USA,USD,"CenterPoint Energy, Inc. is an American Fortune 500 electric and natural gas utility serving several markets in the American states of Arkansas, Indiana, Louisiana, Minnesota, Mississippi, Oklahoma, and Texas.",1.573,2021-12-09,0.63,0.0235,2453000000,1.573,27.06,4.087,2021-11-17,NYSE,December,18.98,2952000000,ELECTRIC SERVICES,,2021-09-30,16727836000,CenterPoint Energy Inc,,0.163,5.24,16.91,2.085,2.067,0.128,1.539,0.078,0.0235,-0.0357,14.13,8092000000,ENERGY & TRANSPORTATION,628866000,CNP,16.91
98,103.77,121.01,130.37,78.2,"3311 EAST OLD SHAKOPEE ROAD, MINNEAPOLIS, MN, US",156.55,Common Stock,1.363,14.7,1725057,USA,USD,"Ceridian HCM Holding Inc., is a Human Capital Management (HCM) software company in the United States, Canada, and internationally. The company is headquartered in Minneapolis, Minnesota.",-0.561,None,None,0,17900000,-0.561,2179.24,19.64,None,NYSE,December,263.16,386000000,SERVICES-PREPACKAGED SOFTWARE,,2021-09-30,18087082000,Ceridian HCM Holding Inc,,-0.0266,5.36,None,8.17,18.74,-0.0862,-0.056,0.258,-0.0022,-0.0391,6.46,964900000,TECHNOLOGY,151331000,CDAY,-
99,76.46,72.32,83.46,67.36,"2800 ROCKCREEK PKWY, W0162, ATTN: MARC NAUGHTON, KANSAS CITY, MO, US",84.61,Common Stock,0.732,12.96,804753,USA,USD,"Cerner Corporation is an American supplier of health information technology (HIT) services, devices, and hardware. Its headquarters are in the suburb of North Kansas City, Missouri.",1.7,2021-10-12,0.88,0.0118,1462766000,1.7,13.48,4.032,2021-09-24,NASDAQ,December,20.45,4572847000,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,,2021-09-30,22069668000,Cerner Corporation,,0.177,2.197,44.12,5.72,3.867,0.0915,-0.491,0.073,0.0846,0.127,18.9,5707534000,TECHNOLOGY,294223000,CERN,44.12
